n,p.z,cens,cens.desc,gamma00,rho00,gamma01,rho01,gamma10,rho10,gamma11,rho11
500,0.5,6.14,low,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
500,0.5,2.31,high,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
500,0.5,6.05,low,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
500,0.5,2.25,high,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
500,0.25,6.14,low,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
500,0.25,2.31,high,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
500,0.25,5.45,low,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
500,0.25,2.02,high,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
1000,0.5,6.14,low,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
1000,0.5,2.31,high,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
1000,0.5,6.05,low,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
1000,0.5,2.25,high,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
1000,0.25,6.14,low,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
1000,0.25,2.31,high,2.879494,-1.7,2.096025,-1.7,1.770851,-1.7,1.213442,-1.7
1000,0.25,5.45,low,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
1000,0.25,2.02,high,2.879494,-1.7,1.952647,-1.4,2.291237,-2.9,1.546588,-2.8
